web_url,snippet,lead_paragraph,abstract,print_page,source,multimedia/0/width,multimedia/0/url,multimedia/0/height,multimedia/0/subtype,multimedia/0/legacy/wide,multimedia/0/legacy/wideheight,multimedia/0/legacy/widewidth,multimedia/0/type,multimedia/1/width,multimedia/1/url,multimedia/1/height,multimedia/1/subtype,multimedia/1/legacy/xlargewidth,multimedia/1/legacy/xlarge,multimedia/1/legacy/xlargeheight,multimedia/1/type,multimedia/2/width,multimedia/2/url,multimedia/2/height,multimedia/2/subtype,multimedia/2/legacy/thumbnailheight,multimedia/2/legacy/thumbnail,multimedia/2/legacy/thumbnailwidth,multimedia/2/type,headline/main,headline/kicker,keywords/0/rank,keywords/0/name,keywords/0/value,keywords/1/rank,keywords/1/name,keywords/1/value,keywords/2/rank,keywords/2/name,keywords/2/value,pub_date,document_type,news_desk,section_name,subsection_name,byline/person/0/organization,byline/person/0/role,byline/person/0/firstname,byline/person/0/rank,byline/person/0/lastname,byline/person/1/organization,byline/person/1/role,byline/person/1/firstname,byline/person/1/rank,byline/person/1/lastname,byline/original,type_of_material,_id,word_count,slideshow_credits,headline/print_headline,byline/organization
http://news.blogs.nytimes.com/2015/01/09/updates-on-the-manhunt-for-the-charlie-hebdo-suspects/,Times reporters and editors are providing live updates following two hostage standoffs in France on Friday.,,Times reporters and editors are providing live updates following two hostage standoffs in France on Friday.,,The New York Times,190,images/2015/01/09/world/09Paris01/09Paris01-thumbWide.jpg,126,wide,images/2015/01/09/world/09Paris01/09Paris01-thumbWide.jpg,126,190,image,600,images/2015/01/09/world/09Paris01/09Paris01-articleLarge.jpg,399,xlarge,600,images/2015/01/09/world/09Paris01/09Paris01-articleLarge.jpg,399,image,75,images/2015/01/09/world/09Paris01/09Paris01-thumbStandard.jpg,75,thumbnail,75,images/2015/01/09/world/09Paris01/09Paris01-thumbStandard.jpg,75,image,"Paris Attack Updates, Day 3: Two Hostage Situations",News,1,organizations,Charlie Hebdo,2,organizations,Paris (France),3,organizations,Terrorism,2015-01-09T05:17:11Z,blogpost,,,,,reported,Mike,1,MCPHATE,,reported,Robert,2,MACKEY,By MIKE MCPHATE and ROBERT MACKEY,Blog,54afab0638f0d84dd51adc91,8717,,,
http://www.nytimes.com/reuters/2015/01/11/world/middleeast/11reuters-lebanon-attack.html,"A double suicide attack that killed eight people at a cafe in the Lebanese city of Tripoli was carried out by the Islamic State group, the interior minister said on Sunday, contradicting a claim of responsibility by the al Qaeda-linked Nusra Front.","A double suicide attack that killed eight people at a cafe in the Lebanese city of Tripoli was carried out by the Islamic State group, the interior minister said on Sunday, contradicting a claim of responsibility by the al Qaeda-linked Nusra Front.",,,Reuters,,,,,,,,,,,,,,,,,,,,,,,,,Islamic State Carried Out Lebanon Cafe Attack-Minister,,,,,,,,,,,2015-01-11T03:20:39Z,article,None,World,Middle East,,,,,,,,,,,By REUTERS,News,54b2327f38f0d87f81147dfd,458,,Islamic State Carried Out Lebanon Cafe Attack-Minister,REUTERS
http://www.nytimes.com/aponline/2015/01/12/world/middleeast/ap-ml-iraq-irans-ascendancy.html,"In the eyes of most Iraqis, their country's best ally in the war against the Islamic State group is not the United States and the coalition air campaign against the militants. It's Iran, which is credited with stopping the extremists' march on...","In the eyes of most Iraqis, their country's best ally in the war against the Islamic State group is not the United States and the coalition air campaign against the militants. It's Iran, which is credited with stopping the extremists' march on Baghdad.",,,AP,,,,,,,,,,,,,,,,,,,,,,,,,Iran Eclipses US as Iraq's Ally in Fight Against Militants,,,,,,,,,,,2015-01-12T02:19:24Z,article,None,World,Middle East,,,,,,,,,,,By THE ASSOCIATED PRESS,News,54b376a438f0d82eb90f125c,1200,,Iran Eclipses US as Iraq's Ally in Fight Against Militants,THE ASSOCIATED PRESS
http://www.nytimes.com/aponline/2015/01/12/world/asia/ap-as-afghanistan-islamic-state.html,"Afghan officials confirmed for the first time Monday that the extremist Islamic State group is active in the south, recruiting fighters, flying black flags and, according to some sources, even battling Taliban militants.","Afghan officials confirmed for the first time Monday that the extremist Islamic State group is active in the south, recruiting fighters, flying black flags and, according to some sources, even battling Taliban militants.",,,AP,,,,,,,,,,,,,,,,,,,,,,,,,Afghan Officials: Islamic State Group Operating in South,,,,,,,,,,,2015-01-12T09:24:51Z,article,None,World,Asia Pacific,,,,,,,,,,,By THE ASSOCIATED PRESS,News,54b3d9df38f0d82eb90f1f3b,550,,Afghan Officials: Islamic State Group Operating in South,THE ASSOCIATED PRESS
http://www.nytimes.com/aponline/2015/01/12/world/middleeast/ap-ml-iraq-yazidi-shrine.html,"As thousands of Yazidis fled up the rocky slopes of Mount Sinjar to escape the Islamic State group during its rampage across northern Iraq last summer, 18 men armed with assault rifles remained behind to face the extremists and defend a holy site.","As thousands of Yazidis fled up the rocky slopes of Mount Sinjar to escape the Islamic State group during its rampage across northern Iraq last summer, 18 men armed with assault rifles remained behind to face the extremists and defend a holy site.",,,AP,,,,,,,,,,,,,,,,,,,,,,,,,"At Yazidi Shrine, Iraqis Recount Islamic State Battle",,,,,,,,,,,2015-01-12T15:44:36Z,article,None,World,Middle East,,,,,,,,,,,By THE ASSOCIATED PRESS,News,54b4333a38f0d8623a353dad,353,,"At Yazidi Shrine, Iraqis Recount Islamic State Battle",THE ASSOCIATED PRESS
